sno,date,state,country,lat,lon,value,deaths,recovered
407,1/24/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
408,1/25/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
409,1/26/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
410,1/27/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
411,1/28/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
412,1/29/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
413,1/30/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
414,1/31/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
415,2/1/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
416,2/2/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
417,2/3/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
418,2/4/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
419,2/5/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
420,2/6/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
421,2/7/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
422,2/8/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
423,2/9/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
424,2/10/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
425,2/11/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
426,2/12/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
427,2/13/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
428,2/14/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
429,2/15/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
430,2/16/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
431,2/17/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
432,2/18/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
433,2/19/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
434,2/20/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
435,2/21/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
436,2/22/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
437,2/23/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
438,2/24/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
439,2/25/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
440,2/26/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
441,2/27/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
442,2/28/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
443,2/29/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
444,3/1/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
445,3/2/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
446,3/3/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
447,3/4/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
448,3/5/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
449,3/6/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
450,3/7/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
451,3/8/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
452,3/9/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
453,3/10/20,,Antigua and Barbuda,17.0608,-61.7964,0,0,0
